,index,area of operation,country_aor
48,Jaysh al Adl (Jundallah),Afghanistan Iran and Pakistan operates primarily in the province of Sistan va Baluchestan of southeastern Iran and the Baloch areas of Afghanistan and Pakistan,AFG
48,Jaysh al Adl (Jundallah),Afghanistan Iran and Pakistan operates primarily in the province of Sistan va Baluchestan of southeastern Iran and the Baloch areas of Afghanistan and Pakistan,IRN
48,Jaysh al Adl (Jundallah),Afghanistan Iran and Pakistan operates primarily in the province of Sistan va Baluchestan of southeastern Iran and the Baloch areas of Afghanistan and Pakistan,PAK
49,Jaysh Rijal al-Tariq al Naqshabandi (JRTN),Iraq,IRQ
50,Jemaah Islamiya (JI),operates throughout Indonesia reportedly strongest in Java has operated in the Philippines Malaysia and Singapore,IDN
50,Jemaah Islamiya (JI),operates throughout Indonesia reportedly strongest in Java has operated in the Philippines Malaysia and Singapore,MYS
50,Jemaah Islamiya (JI),operates throughout Indonesia reportedly strongest in Java has operated in the Philippines Malaysia and Singapore,PHL
50,Jemaah Islamiya (JI),operates throughout Indonesia reportedly strongest in Java has operated in the Philippines Malaysia and Singapore,SGP
51,Kata'ib Hizballah (KH),Iraq participated in the Syrian civil war,IRQ
51,Kata'ib Hizballah (KH),Iraq participated in the Syrian civil war,SYR
52,Kurdistan Workers Party (PKK),located primarily in northern Iraq headquartered in the Qandil Mountains and southeastern Türkiye also present in Iran Syria and Europe ,IRN
52,Kurdistan Workers Party (PKK),located primarily in northern Iraq headquartered in the Qandil Mountains and southeastern Türkiye also present in Iran Syria and Europe ,IRQ
52,Kurdistan Workers Party (PKK),located primarily in northern Iraq headquartered in the Qandil Mountains and southeastern Türkiye also present in Iran Syria and Europe ,SYR
52,Kurdistan Workers Party (PKK),located primarily in northern Iraq headquartered in the Qandil Mountains and southeastern Türkiye also present in Iran Syria and Europe ,TUR
53,La Mara Salvatrucha (MS-13),chiefly active in El Salvador Guatemala Honduras Mexico and the US has appeared in some European countries such as Italy and Spain largely urban based,ESP
53,La Mara Salvatrucha (MS-13),chiefly active in El Salvador Guatemala Honduras Mexico and the US has appeared in some European countries such as Italy and Spain largely urban based,GTM
53,La Mara Salvatrucha (MS-13),chiefly active in El Salvador Guatemala Honduras Mexico and the US has appeared in some European countries such as Italy and Spain largely urban based,HND
53,La Mara Salvatrucha (MS-13),chiefly active in El Salvador Guatemala Honduras Mexico and the US has appeared in some European countries such as Italy and Spain largely urban based,ITA
53,La Mara Salvatrucha (MS-13),chiefly active in El Salvador Guatemala Honduras Mexico and the US has appeared in some European countries such as Italy and Spain largely urban based,MEX
53,La Mara Salvatrucha (MS-13),chiefly active in El Salvador Guatemala Honduras Mexico and the US has appeared in some European countries such as Italy and Spain largely urban based,USA
54,Lashkar i Jhangvi (LJ),Pakistan,PAK
55,Lashkar-e Tayyiba (LeT),Afghanistan India and Pakistan ,AFG
55,Lashkar-e Tayyiba (LeT),Afghanistan India and Pakistan ,IND
55,Lashkar-e Tayyiba (LeT),Afghanistan India and Pakistan ,PAK
56,Liberation Tigers of Tamil Eelam (LTTE),was based in the northeastern part of Sri Lanka since its defeat supporters have been active in India Malaysia and Sri Lanka,IND
56,Liberation Tigers of Tamil Eelam (LTTE),was based in the northeastern part of Sri Lanka since its defeat supporters have been active in India Malaysia and Sri Lanka,MYS
57,National Liberation Army (ELN),Colombia and Venezuela,COL
57,National Liberation Army (ELN),Colombia and Venezuela,VEN
58,New Generation Jalisco Cartel,named for the west central Mexican state where it is based but has a presence in nearly every state in Mexico and contacts in a variety of countries including Australia Bolivia Canada China Colombia Peru the US and in Southeast Asia most important foreign connections are assessed to be with drug trafficking groups in neighboring Guatemala which help it control part of the cocaine and synthetic drug supply chain into Mexico and the US as well as in Colombia where the group’s emissaries establish partnerships to gain access to cocaine supplies,AUS
58,New Generation Jalisco Cartel,named for the west central Mexican state where it is based but has a presence in nearly every state in Mexico and contacts in a variety of countries including Australia Bolivia Canada China Colombia Peru the US and in Southeast Asia most important foreign connections are assessed to be with drug trafficking groups in neighboring Guatemala which help it control part of the cocaine and synthetic drug supply chain into Mexico and the US as well as in Colombia where the group’s emissaries establish partnerships to gain access to cocaine supplies,BOL
58,New Generation Jalisco Cartel,named for the west central Mexican state where it is based but has a presence in nearly every state in Mexico and contacts in a variety of countries including Australia Bolivia Canada China Colombia Peru the US and in Southeast Asia most important foreign connections are assessed to be with drug trafficking groups in neighboring Guatemala which help it control part of the cocaine and synthetic drug supply chain into Mexico and the US as well as in Colombia where the group’s emissaries establish partnerships to gain access to cocaine supplies,CAN
58,New Generation Jalisco Cartel,named for the west central Mexican state where it is based but has a presence in nearly every state in Mexico and contacts in a variety of countries including Australia Bolivia Canada China Colombia Peru the US and in Southeast Asia most important foreign connections are assessed to be with drug trafficking groups in neighboring Guatemala which help it control part of the cocaine and synthetic drug supply chain into Mexico and the US as well as in Colombia where the group’s emissaries establish partnerships to gain access to cocaine supplies,CHN
58,New Generation Jalisco Cartel,named for the west central Mexican state where it is based but has a presence in nearly every state in Mexico and contacts in a variety of countries including Australia Bolivia Canada China Colombia Peru the US and in Southeast Asia most important foreign connections are assessed to be with drug trafficking groups in neighboring Guatemala which help it control part of the cocaine and synthetic drug supply chain into Mexico and the US as well as in Colombia where the group’s emissaries establish partnerships to gain access to cocaine supplies,COL
58,New Generation Jalisco Cartel,named for the west central Mexican state where it is based but has a presence in nearly every state in Mexico and contacts in a variety of countries including Australia Bolivia Canada China Colombia Peru the US and in Southeast Asia most important foreign connections are assessed to be with drug trafficking groups in neighboring Guatemala which help it control part of the cocaine and synthetic drug supply chain into Mexico and the US as well as in Colombia where the group’s emissaries establish partnerships to gain access to cocaine supplies,GTM
58,New Generation Jalisco Cartel,named for the west central Mexican state where it is based but has a presence in nearly every state in Mexico and contacts in a variety of countries including Australia Bolivia Canada China Colombia Peru the US and in Southeast Asia most important foreign connections are assessed to be with drug trafficking groups in neighboring Guatemala which help it control part of the cocaine and synthetic drug supply chain into Mexico and the US as well as in Colombia where the group’s emissaries establish partnerships to gain access to cocaine supplies,MEX
58,New Generation Jalisco Cartel,named for the west central Mexican state where it is based but has a presence in nearly every state in Mexico and contacts in a variety of countries including Australia Bolivia Canada China Colombia Peru the US and in Southeast Asia most important foreign connections are assessed to be with drug trafficking groups in neighboring Guatemala which help it control part of the cocaine and synthetic drug supply chain into Mexico and the US as well as in Colombia where the group’s emissaries establish partnerships to gain access to cocaine supplies,PER
58,New Generation Jalisco Cartel,named for the west central Mexican state where it is based but has a presence in nearly every state in Mexico and contacts in a variety of countries including Australia Bolivia Canada China Colombia Peru the US and in Southeast Asia most important foreign connections are assessed to be with drug trafficking groups in neighboring Guatemala which help it control part of the cocaine and synthetic drug supply chain into Mexico and the US as well as in Colombia where the group’s emissaries establish partnerships to gain access to cocaine supplies,USA
59,Northeast Cartel,based in northeastern Mexico particularly Nuevo Laredo but has used violence to exert control over large swaths of North Mexico including along the US border,MEX
59,Northeast Cartel,based in northeastern Mexico particularly Nuevo Laredo but has used violence to exert control over large swaths of North Mexico including along the US border,USA
60,Palestine Islamic Jihad (PIJ),Israel the Gaza Strip and the West Bank maintains a presence in Lebanon and Syria and offices in Tehran Iran ,IRN
60,Palestine Islamic Jihad (PIJ),Israel the Gaza Strip and the West Bank maintains a presence in Lebanon and Syria and offices in Tehran Iran ,ISR
60,Palestine Islamic Jihad (PIJ),Israel the Gaza Strip and the West Bank maintains a presence in Lebanon and Syria and offices in Tehran Iran ,LBN
60,Palestine Islamic Jihad (PIJ),Israel the Gaza Strip and the West Bank maintains a presence in Lebanon and Syria and offices in Tehran Iran ,PSE
60,Palestine Islamic Jihad (PIJ),Israel the Gaza Strip and the West Bank maintains a presence in Lebanon and Syria and offices in Tehran Iran ,SYR
61,Palestine Liberation Front – Abu Abbas Faction,maintains a presence in the Gaza Strip Lebanon Syria and the West Bank ,LBN
61,Palestine Liberation Front – Abu Abbas Faction,maintains a presence in the Gaza Strip Lebanon Syria and the West Bank ,PSE
61,Palestine Liberation Front – Abu Abbas Faction,maintains a presence in the Gaza Strip Lebanon Syria and the West Bank ,SYR
62,Popular Front for the Liberation of Palestine - General Command (PFLP-GC),Syria Lebanon Gaza Strip and the West Bank ,LBN
62,Popular Front for the Liberation of Palestine - General Command (PFLP-GC),Syria Lebanon Gaza Strip and the West Bank ,PSE
62,Popular Front for the Liberation of Palestine - General Command (PFLP-GC),Syria Lebanon Gaza Strip and the West Bank ,SYR
63,Popular Front for the Liberation of Palestine (PFLP),headquartered in the Gaza Strip also operates in Israel Lebanon Syria and the West Bank,ISR
63,Popular Front for the Liberation of Palestine (PFLP),headquartered in the Gaza Strip also operates in Israel Lebanon Syria and the West Bank,LBN
63,Popular Front for the Liberation of Palestine (PFLP),headquartered in the Gaza Strip also operates in Israel Lebanon Syria and the West Bank,PSE
63,Popular Front for the Liberation of Palestine (PFLP),headquartered in the Gaza Strip also operates in Israel Lebanon Syria and the West Bank,SYR
64,Real Irish Republican Army (RIRA),UK and the Republic of Ireland,GBR
64,Real Irish Republican Army (RIRA),UK and the Republic of Ireland,IRL
65,Revolutionary Armed Forces of Colombia – People’s Army (FARC-EP),Colombia and Venezuela,COL
65,Revolutionary Armed Forces of Colombia – People’s Army (FARC-EP),Colombia and Venezuela,VEN
66,Revolutionary People's Liberation Party/Front (DHKP/C),Türkiye has a presence in Europe especially Germany and Greece historically active in Syria,DEU
66,Revolutionary People's Liberation Party/Front (DHKP/C),Türkiye has a presence in Europe especially Germany and Greece historically active in Syria,GRC
66,Revolutionary People's Liberation Party/Front (DHKP/C),Türkiye has a presence in Europe especially Germany and Greece historically active in Syria,SYR
66,Revolutionary People's Liberation Party/Front (DHKP/C),Türkiye has a presence in Europe especially Germany and Greece historically active in Syria,TUR
67,Revolutionary Struggle (RS),Greece primarily in Athens and its suburbs,GRC
68,Segunda Marquetalia,Colombia and Venezuela,COL
68,Segunda Marquetalia,Colombia and Venezuela,VEN
69,"Shining Path (Sendero Luminoso, SL)",Peru most active in the Valley of the Apurimac Ene and Mantaro Rivers VRAEM a vast jungle area near the Andes mountains and home to most of Peru's coca cultivation and production,PER
70,Sinaloa Cartel,based in Sinaloa Mexico and operates across large parts of Mexico particularly along the northwest Pacific coast and both the northern and southern borders in 2024 was assessed to operate in 47 countries worldwide including the US,MEX
70,Sinaloa Cartel,based in Sinaloa Mexico and operates across large parts of Mexico particularly along the northwest Pacific coast and both the northern and southern borders in 2024 was assessed to operate in 47 countries worldwide including the US,USA
71,Tehrik-e-Taliban Pakistan (TTP),based primarily in eastern Afghanistan conducts operations in Pakistan,AFG
71,Tehrik-e-Taliban Pakistan (TTP),based primarily in eastern Afghanistan conducts operations in Pakistan,PAK
72,The New Michoacana Family,based in Mexico’s Pacific coast state of Michoacán but has operations in multiple other states particularly in the country’s south and around Mexico City,MEX
73,United Cartels,operates primarily in the Mexican states of Michoacán and Jalisco where it has been engaged in frequent violent clashes with the CJNG over drug trafficking routes and illicit economies,MEX
